question,answer,category,keywords
Tôi bị đau răng dữ dội vào ban đêm thì nên làm gì?,"Đau răng dữ dội có thể xuất phát từ nhiều nguyên nhân và không nên tự kết luận tại nhà. Bạn có thể súc miệng nhẹ bằng nước sạch, tránh nhai bên đau và liên hệ nha sĩ càng sớm càng tốt. Nếu đau kèm sưng mặt, sốt hoặc khó thở, hãy đến cơ sở y tế ngay.",EMERGENCY,đau răng|đau ban đêm|đau dữ dội|cấp cứu nha khoa|liên hệ nha sĩ
Nướu chảy máu khi đánh răng có nguy hiểm không?,"Chảy máu nướu khi đánh răng có thể liên quan đến cách chải răng, mảng bám hoặc tình trạng nướu nhạy cảm. Bạn nên dùng bàn chải lông mềm và chải nhẹ theo hướng dẫn. Nếu tình trạng lặp lại nhiều ngày hoặc kèm sưng đau, nên đặt lịch khám nha khoa.",ORAL_CARE,chảy máu nướu|chảy máu khi đánh răng|nướu nhạy cảm|vệ sinh răng miệng|khám nha khoa
Sau khi nhổ răng bao lâu thì hết chảy máu?,"Sau nhổ răng, rỉ máu nhẹ trong vài giờ đầu có thể xảy ra. Bạn nên cắn gạc theo hướng dẫn của nha sĩ và tránh súc miệng mạnh trong ngày đầu. Nếu máu chảy nhiều, thấm gạc liên tục hoặc kéo dài bất thường, hãy liên hệ phòng khám ngay.",POST_TREATMENT,sau nhổ răng|chảy máu sau nhổ|cắn gạc|chăm sóc sau thủ thuật|máu kéo dài
Bị sưng mặt sau đau răng thì có cần đi khám ngay không?,"Sưng mặt đi kèm đau răng là dấu hiệu cần được nha sĩ đánh giá sớm. Bạn không nên tự chườm nóng hoặc tự dùng thuốc khi chưa có hướng dẫn. Nếu sưng lan nhanh, sốt, khó nuốt hoặc khó thở, hãy đến cơ sở y tế khẩn cấp.",EMERGENCY,sưng mặt|đau răng sưng|sốt|khó nuốt|khó thở
Tôi có nên tự uống kháng sinh khi đau răng không?,Bạn không nên tự dùng kháng sinh khi đau răng vì thuốc cần được chỉ định phù hợp sau thăm khám. Dùng sai thuốc hoặc sai liều có thể gây rủi ro và không giải quyết được nguyên nhân. Hãy liên hệ nha sĩ để được hướng dẫn an toàn.,EMERGENCY,kháng sinh|tự uống thuốc|đau răng|thuốc đau răng|nha sĩ tư vấn
Cạo vôi răng có làm yếu răng không?,"Cạo vôi răng đúng kỹ thuật không làm yếu răng. Cảm giác ê nhẹ sau khi lấy cao răng có thể xuất hiện ở một số người và thường cần theo dõi. Nếu ê buốt kéo dài, bạn nên báo lại cho nha sĩ.",SERVICE_INFORMATION,cạo vôi răng|lấy cao răng|yếu răng|ê sau cạo vôi|đánh bóng răng
Bao lâu nên cạo vôi răng một lần?,"Nhiều người được khuyến nghị kiểm tra và cạo vôi răng định kỳ khoảng 6 tháng một lần. Tuy nhiên tần suất có thể thay đổi tùy lượng cao răng, thói quen vệ sinh và tình trạng nướu. Nha sĩ sẽ tư vấn lịch phù hợp sau khi khám.",ORAL_CARE,bao lâu cạo vôi|lấy cao răng định kỳ|6 tháng|vệ sinh răng|mảng bám
Tẩy trắng răng có phù hợp với mọi người không?,"Tẩy trắng răng không phải lúc nào cũng phù hợp cho mọi khách hàng. Người đang đau răng, nướu viêm, sâu răng chưa xử lý hoặc răng quá nhạy cảm nên được khám trước. Nha sĩ sẽ đánh giá màu răng và tình trạng răng miệng trước khi tư vấn.",SERVICE_INFORMATION,tẩy trắng răng|răng ố vàng|răng nhạy cảm|dịch vụ thẩm mỹ|khám trước
Răng ê buốt sau tẩy trắng có bình thường không?,"Một số người có thể ê buốt nhẹ sau tẩy trắng răng trong thời gian ngắn. Bạn nên tránh đồ quá nóng, quá lạnh và dùng sản phẩm chăm sóc theo hướng dẫn. Nếu ê buốt nhiều hoặc kéo dài, hãy liên hệ phòng khám để được kiểm tra.",POST_TREATMENT,ê buốt sau tẩy trắng|tẩy trắng răng|răng nhạy cảm|chăm sóc sau tẩy trắng|liên hệ phòng khám
Trám răng giữ được bao lâu?,"Tuổi thọ miếng trám phụ thuộc vào vị trí răng, kích thước miếng trám, vật liệu và thói quen ăn nhai. Bạn nên tránh cắn vật quá cứng và tái khám nếu thấy miếng trám cộm, nứt hoặc bong. Nha sĩ có thể kiểm tra định kỳ để đánh giá tình trạng miếng trám.",SERVICE_INFORMATION,trám răng|miếng trám|bong trám|răng mẻ|vật liệu trám
Khi nào cần điều trị tủy răng?,"Điều trị tủy có thể được cân nhắc khi nha sĩ đánh giá phần tủy răng bị ảnh hưởng đáng kể. Dấu hiệu thường gặp có thể là đau kéo dài, đau khi nhai hoặc ê buốt nhiều, nhưng không thể kết luận chỉ dựa trên cảm giác. Bạn nên khám và chụp phim nếu được chỉ định.",SERVICE_INFORMATION,điều trị tủy|đau răng kéo dài|đau khi nhai|chụp phim răng|tủy răng
Điều trị tủy có đau không?,"Trong quá trình điều trị tủy, nha sĩ thường sử dụng gây tê phù hợp để giảm khó chịu. Sau buổi điều trị, một số người có thể ê hoặc đau nhẹ khi nhai trong thời gian ngắn. Nếu đau tăng dần hoặc sưng, bạn nên liên hệ phòng khám.",SERVICE_INFORMATION,điều trị tủy có đau không|gây tê|đau sau điều trị tủy|ê răng|nha sĩ
Niềng răng có giới hạn tuổi không?,"Niềng răng không chỉ dành cho trẻ em, người trưởng thành vẫn có thể được tư vấn chỉnh nha nếu tình trạng răng miệng phù hợp. Kế hoạch điều trị phụ thuộc vào răng, nướu, xương hàm và mục tiêu của khách hàng. Bạn nên khám chuyên sâu để biết phương án phù hợp.",SERVICE_INFORMATION,niềng răng|chỉnh nha người lớn|mắc cài|khay trong suốt|răng lệch
Dùng bàn chải điện có tốt hơn bàn chải thường không?,"Bàn chải điện có thể giúp một số người duy trì thời gian chải và thao tác đều hơn. Tuy vậy, bàn chải thường vẫn hiệu quả nếu dùng đúng kỹ thuật và đủ thời gian. Bạn nên chọn loại lông mềm và thay đầu chải định kỳ.",PRODUCT_USAGE,bàn chải điện|bàn chải thường|chải răng đúng cách|lông mềm|thay đầu chải
Tăm nước có thay thế chỉ nha khoa không?,"Tăm nước hỗ trợ làm sạch kẽ răng và vùng quanh mắc cài, nhưng không phải lúc nào cũng thay thế hoàn toàn chỉ nha khoa. Với một số kẽ răng, chỉ nha khoa vẫn giúp lấy mảng bám sát bề mặt tốt hơn. Bạn có thể hỏi nha sĩ để chọn cách phù hợp với tình trạng răng.",PRODUCT_USAGE,tăm nước|chỉ nha khoa|làm sạch kẽ răng|máy tăm nước|mảng bám
Nước súc miệng có dùng hằng ngày được không?,"Một số loại nước súc miệng có thể dùng hằng ngày theo hướng dẫn trên nhãn sản phẩm. Bạn không nên dùng nước súc miệng để thay thế chải răng và làm sạch kẽ răng. Nếu có khô miệng, rát miệng hoặc kích ứng, hãy ngưng dùng và hỏi nha sĩ.",PRODUCT_USAGE,nước súc miệng|súc miệng hằng ngày|khô miệng|vệ sinh miệng|hơi thở
Kem đánh răng cho răng nhạy cảm nên dùng như thế nào?,"Kem đánh răng cho răng nhạy cảm nên được dùng đều đặn theo hướng dẫn của sản phẩm. Bạn nên chải nhẹ bằng bàn chải lông mềm và tránh chà ngang quá mạnh. Nếu ê buốt kéo dài hoặc đau rõ rệt, cần khám để loại trừ vấn đề khác.",PRODUCT_USAGE,kem răng nhạy cảm|ê buốt|bàn chải lông mềm|chải răng nhẹ|răng ê
Trẻ em mấy tuổi nên đi khám nha khoa lần đầu?,"Trẻ nên được kiểm tra răng miệng sớm để phụ huynh được hướng dẫn chăm sóc phù hợp theo độ tuổi. Lịch khám cụ thể có thể thay đổi tùy tình trạng mọc răng và thói quen ăn uống của trẻ. Nếu trẻ đau, sưng nướu hoặc có răng đổi màu, nên đưa trẻ đi khám sớm.",ORAL_CARE,trẻ em khám răng|răng sữa|nha khoa trẻ em|mọc răng|chăm sóc răng trẻ
Làm gì nếu trẻ bị đau răng?,"Khi trẻ đau răng, phụ huynh nên quan sát mức độ đau, vùng sưng và khả năng ăn uống của trẻ. Không tự ý cho trẻ dùng thuốc ngoài hướng dẫn của bác sĩ hoặc nha sĩ. Nếu đau nhiều, sưng mặt, sốt hoặc trẻ mệt, cần liên hệ cơ sở y tế sớm.",EMERGENCY,trẻ đau răng|đau răng trẻ em|sưng mặt|sốt|khám nha khoa trẻ
Sau trám răng cần kiêng gì?,"Sau trám răng, bạn nên tránh nhai thức ăn quá cứng ở vùng răng vừa trám trong thời gian đầu. Nếu còn tê, nên cẩn thận để không cắn vào môi hoặc má. Hãy báo nha sĩ nếu cảm thấy cộm, đau khi cắn hoặc miếng trám bong.",POST_TREATMENT,sau trám răng|kiêng ăn|miếng trám cộm|đau khi cắn|bong trám
Sau nhổ răng nên ăn gì?,"Sau nhổ răng, bạn nên chọn thức ăn mềm, nguội hoặc ấm nhẹ trong ngày đầu. Tránh dùng ống hút, súc miệng mạnh hoặc ăn đồ quá cứng theo hướng dẫn của nha sĩ. Nếu đau tăng, sưng nhiều hoặc chảy máu kéo dài, hãy liên hệ phòng khám.",POST_TREATMENT,sau nhổ răng ăn gì|thức ăn mềm|không dùng ống hút|chăm sóc sau nhổ|chảy máu
Chảy máu kéo dài sau nhổ răng xử lý thế nào?,"Bạn nên cắn gạc sạch theo hướng dẫn và ngồi nghỉ, tránh súc miệng mạnh. Nếu máu vẫn chảy nhiều, thấm gạc liên tục hoặc kèm chóng mặt, cần liên hệ phòng khám hoặc cơ sở y tế ngay. Không tự đặt thuốc lạ vào ổ nhổ răng.",EMERGENCY,chảy máu kéo dài|sau nhổ răng|cắn gạc|cấp cứu nha khoa|máu không ngừng
Phòng khám có nhận đặt lịch trước không?,"Phòng khám có thể nhận đặt lịch trước để khách hàng chủ động thời gian và giảm thời gian chờ. Khi đặt lịch, bạn nên cung cấp nhu cầu chính như khám tổng quát, đau răng, cạo vôi hoặc tư vấn chỉnh nha. Nếu có dấu hiệu khẩn cấp, hãy nói rõ để được hướng dẫn phù hợp.",CLINIC_POLICY,đặt lịch|lịch hẹn nha khoa|khám răng|đặt hẹn|thời gian chờ
Tôi đến trễ lịch hẹn thì có sao không?,"Nếu đến trễ, bạn nên báo phòng khám càng sớm càng tốt để được sắp xếp lại. Tùy lịch bác sĩ và thời lượng dịch vụ, phòng khám có thể điều chỉnh giờ khám hoặc chuyển sang khung giờ khác. Việc thông báo trước giúp tránh ảnh hưởng đến khách hàng tiếp theo.",CLINIC_POLICY,đến trễ|trễ lịch hẹn|đổi giờ khám|lịch bác sĩ|hẹn lại
